,article_id,authorid,authorname,authorurl,paperId,doi,title,venue,year,intent,isInfluential
0,10.2196/18652,,Ye-hui Lin,https://www.semanticscholar.org/author/13045722,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
1,10.2196/18652,,Y. A. Hong,https://www.semanticscholar.org/author/2107102478,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
2,10.2196/18652,,Bradley S Henson,https://www.semanticscholar.org/author/49822566,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
3,10.2196/18652,,R. Stevenson,https://www.semanticscholar.org/author/35167270,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
4,10.2196/18652,,Simon Hong,https://www.semanticscholar.org/author/2111138936,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
5,10.2196/18652,,T. Lyu,https://www.semanticscholar.org/author/39094807,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
6,10.2196/18652,,Chen Liang,https://www.semanticscholar.org/author/2113439050,29d128d11af17cd3532ca6c7427a7aee888ae9b3,10.3390/ijerph18094743,Detecting Topic and Sentiment Trends in Physician Rating Websites: Analysis of Online Reviews Using 3-Wave Datasets,International journal of environmental research and public health,2021,,False
7,10.2196/18652,,Ye-hui Lin,https://www.semanticscholar.org/author/13045722,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
8,10.2196/18652,,Y. A. Hong,https://www.semanticscholar.org/author/2107102478,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
9,10.2196/18652,,Bradley S Henson,https://www.semanticscholar.org/author/49822566,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
10,10.2196/18652,,R. Stevenson,https://www.semanticscholar.org/author/35167270,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
11,10.2196/18652,,Simon Hong,https://www.semanticscholar.org/author/2111138936,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
12,10.2196/18652,,T. Lyu,https://www.semanticscholar.org/author/39094807,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
13,10.2196/18652,,Chen Liang,https://www.semanticscholar.org/author/2113439050,3fdd8cbddc8405f5d5238b889fc0e2df2da36ff1,10.36740/WLEK202103220,PATIENTS' SATISFACTION WITH DENTAL CARE (ON THE RESULTS OF SOCIOLOGICAL RESEARCH).,Wiadomosci lekarskie,2021,,False
14,10.2196/18652,,Ye-hui Lin,https://www.semanticscholar.org/author/13045722,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
15,10.2196/18652,,Y. A. Hong,https://www.semanticscholar.org/author/2107102478,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
16,10.2196/18652,,Bradley S Henson,https://www.semanticscholar.org/author/49822566,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
17,10.2196/18652,,R. Stevenson,https://www.semanticscholar.org/author/35167270,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
18,10.2196/18652,,Simon Hong,https://www.semanticscholar.org/author/2111138936,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
19,10.2196/18652,,T. Lyu,https://www.semanticscholar.org/author/39094807,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
20,10.2196/18652,,Chen Liang,https://www.semanticscholar.org/author/2113439050,41b919cdc017055ad5d3e4c1f9ddba6ffdf60f13,10.3390/ijerph18189912,Assessing Patient-Perceived Hospital Service Quality and Sentiment in Malaysian Public Hospitals Using Machine Learning and Facebook Reviews,International journal of environmental research and public health,2021,,False
21,10.2196/18652,,Ye-hui Lin,https://www.semanticscholar.org/author/13045722,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
22,10.2196/18652,,Y. A. Hong,https://www.semanticscholar.org/author/2107102478,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
23,10.2196/18652,,Bradley S Henson,https://www.semanticscholar.org/author/49822566,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
24,10.2196/18652,,R. Stevenson,https://www.semanticscholar.org/author/35167270,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
25,10.2196/18652,,Simon Hong,https://www.semanticscholar.org/author/2111138936,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
26,10.2196/18652,,T. Lyu,https://www.semanticscholar.org/author/39094807,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
27,10.2196/18652,,Chen Liang,https://www.semanticscholar.org/author/2113439050,429d14412bc7218b79a9e8f29dd33e42fbb0c3a7,10.2196/32591,Exploring Online Health Reviews to Monitor COVID-19 Public Health Responses in Alabama State Department of Corrections: A Case Example.,JMIR formative research,2021,,False
28,10.2196/18652,,Ye-hui Lin,https://www.semanticscholar.org/author/13045722,61528a1bb2ab099a91d74e244df90f7d68895807,10.3390/ijerph182111226,Examining Different Factors in Web-Based Patients’ Decision-Making Process: Systematic Review on Digital Platforms for Clinical Decision Support System,International journal of environmental research and public health,2021,,False
29,10.2196/18652,,Y. A. Hong,https://www.semanticscholar.org/author/2107102478,61528a1bb2ab099a91d74e244df90f7d68895807,10.3390/ijerph182111226,Examining Different Factors in Web-Based Patients’ Decision-Making Process: Systematic Review on Digital Platforms for Clinical Decision Support System,International journal of environmental research and public health,2021,,False
